code,symbol,minorUnit,name,descr
EUR,€,2,Euro,Official currency of the Eurozone
USD,$,2,US Dollar,Official currency of the United States
INR,₹,2,Indian Rupee,Official currency of India
GBP,£,2,British Pound,Official currency of the United Kingdom
JPY,¥,0,Japanese Yen,Official currency of Japan
