code,locale,name,descr
EUR,en,Euro,European Union currency
USD,en,US Dollar,United States currency
INR,en,Indian Rupee,Official currency of India
GBP,en,British Pound,United Kingdom currency
JPY,en,Japanese Yen,Official currency of Japan
